Australia,1992,Summer,32
Australia,1996,Summer,78
Australia,2000,Summer,95
Australia,2004,Summer,78
Australia,2008,Summer,91
Australia,2012,Summer,71
Australia,2016,Summer,52
Australia,1992,Winter,1
Australia,1994,Winter,1
Australia,1998,Winter,1
Australia,2002,Winter,3
Australia,2006,Winter,3
Australia,2010,Winter,2
Australia,2014,Winter,2
China,1992,Summer,60
China,1996,Summer,84
China,2000,Summer,77
China,2004,Summer,98
China,2008,Summer,129
China,2012,Summer,96
China,2016,Summer,87
China,1992,Winter,4
China,1994,Winter,4
China,1998,Winter,8
China,2002,Winter,11
China,2006,Winter,11
China,2010,Winter,16
China,2014,Winter,12
France,1992,Summer,15
France,1996,Summer,21
France,2000,Summer,24
France,2004,Summer,27
France,2008,Summer,30
France,2012,Summer,47
France,2016,Summer,38
France,1992,Winter,7
France,1994,Winter,6
France,1998,Winter,10
France,2002,Winter,12
France,2006,Winter,12
France,2010,Winter,6
France,2014,Winter,7
South Korea,1992,Summer,33
South Korea,1996,Summer,46
South Korea,2000,Summer,28
South Korea,2004,Summer,29
South Korea,2008,Summer,31
South Korea,2012,Summer,26
South Korea,2016,Summer,21
South Korea,1992,Winter,2
South Korea,1994,Winter,4
South Korea,1998,Winter,5
South Korea,2002,Winter,5
South Korea,2006,Winter,6
South Korea,2010,Winter,5
South Korea,2014,Winter,7
USA,1992,Summer,87
USA,1996,Summer,128
USA,2000,Summer,140
USA,2004,Summer,158
USA,2008,Summer,161
USA,2012,Summer,153
USA,2016,Summer,137
USA,1992,Winter,11
USA,1994,Winter,13
USA,1998,Winter,32
USA,2002,Winter,37
USA,2006,Winter,39
USA,2010,Winter,42
USA,2014,Winter,41
